facility_id,facility_name,county,hospital_type,teaching_rural,bed_size_category,licensed_beds,staffed_beds,occupied_beds,patient_days,discharges,operating_expense,net_patient_revenue,net_income,flag_zero_patient_days,flag_zero_beds,flag_negative_income,utilization_rate,cost_per_patient_day,revenue_per_patient_day,margin_per_patient_day,operating_margin,loss_driver
106580996,ADVENTIST HEALTH AND RIDEOUT,Yuba,Comparable,Non-Teaching,200 - 299,221,151,147.885245901639,54126,11372,525727747,482851282,-48743941,False,False,True,0.9793724894148278,9713.035269556221,8920.875032331965,-900.5642574733031,-0.10095021555726137,High cost structure
106150788,ADVENTIST HEALTH BAKERSFIELD,Kern,Comparable,Non-Teaching,300 - 499,301,198,198.631147540984,72699,17945,704834525,698464738,-5197092,False,False,True,1.0031876138433535,9695.243744755773,9607.625111762198,-71.48780588453761,-0.007440736399780858,High cost structure
106171049,ADVENTIST HEALTH CLEARLAKE,Lake,Comparable,Rural,1 - 49,25,18,15.658469945355192,5731,1497,209729803,183332113,-17011138,False,False,True,0.8699149969641773,36595.673180945734,31989.550340254755,-2968.266969115338,-0.09278864308949518,High cost structure
106150706,ADVENTIST HEALTH DELANO,Kern,Comparable,Non-Teaching,150 - 199,156,69,64.19672131147541,23496,2614,111157919,100703448,220351,False,False,False,0.9303872653837016,4730.929477357849,4285.982635342186,9.378234593122233,0.002188117729593529,Profitable
106190323,ADVENTIST HEALTH GLENDALE,Los Angeles,Comparable,Non-Teaching,500 +,515,313,310.866120218579,113777,19036,615072638,563092249,-44826471,False,False,True,0.993182492711115,5405.948812150083,4949.0868013746185,-393.98534853265596,-0.07960768609336691,Profitable
106164029,ADVENTIST HEALTH HANFORD,Kings,Comparable,Rural,200 - 299,235,109,107.732240437158,39430,9362,412674347,445593212,59311661,False,False,False,0.9883691783225504,10465.999163073802,11300.867664215064,1504.2267562769464,0.13310719149824032,Profitable
106234038,ADVENTIST HEALTH HOWARD MEMORIAL,Mendocino,Comparable,Rural,1 - 49,25,15,14.3087431693989,5237,1272,96829911,92431590,2313284,False,False,False,0.95391621129326,18489.576284132138,17649.721214435747,441.71930494557955,0.025026984821964006,Profitable
106390923,ADVENTIST HEALTH LODI MEMORIAL,San Joaquin,Comparable,Non-Teaching,150 - 199,194,97,93.42349726775956,34193,7626,287698811,287645682,9117874,False,False,False,0.9631288378119542,8413.968092884508,8412.414295323604,266.65908226830055,0.031698282194272606,Profitable
106231013,ADVENTIST HEALTH MENDOCINO COAST,Mendocino,Comparable,Rural,1 - 49,25,13,12.1693989071038,4454,874,92414574,80173947,-10986428,False,False,True,0.9361076082387538,20748.669510552314,18000.43713515941,-2466.6430175123483,-0.13703239532413192,High cost structure
106100797,ADVENTIST HEALTH REEDLEY,Fresno,Comparable,Rural,1 - 49,49,16,14.8005464480874,5417,1642,238959958,223863588,110974,False,False,False,0.9250341530054625,44112.96990954403,41326.119254199744,20.486247000184605,0.0004957215284157779,Profitable
106400524,ADVENTIST HEALTH SIERRA VISTA,San Luis Obispo,Comparable,Non-Teaching,150 - 199,162,71,64.26775956284152,23522,4685,190932195,194253042,289367,False,False,False,0.9051797121526974,8117.175197687271,8258.355667035115,12.301972621375734,0.0014896394775634968,Profitable
106560525,ADVENTIST HEALTH SIMI VALLEY,Ventura,Comparable,Non-Teaching,100 - 149,144,81,79.2021857923497,28988,6577,233720744,214002519,-24944175,False,False,True,0.9778047628685148,8062.672278184076,7382.452014626742,-860.5000344970333,-0.11656019338725634,High cost structure
106554011,ADVENTIST HEALTH SONORA - GREENLEY,Tuolumne,Comparable,Rural,150 - 199,152,104,101.513661202186,37154,3964,335535894,327880035,16063144,False,False,False,0.9760928961748654,9030.949399795447,8824.891936265274,432.3395596705604,0.048990918278997986,Profitable
106281078,ADVENTIST HEALTH ST. HELENA,Napa,Comparable,Non-Teaching,100 - 149,141,55,55.86338797814208,20446,3548,272860824,258697752,-21851824,False,False,True,1.015697963238947,13345.437934070234,12652.731683458867,-1068.757898855522,-0.0844685500011612,High cost structure
106154168,ADVENTIST HEALTH TEHACHAPI VALLEY,Kern,Comparable,Rural,1 - 49,25,13,11.8934426229508,4353,1232,72362058,68123311,1767270,False,False,False,0.9148802017654462,16623.49138525155,15649.738341373764,405.9889731219848,0.02594222115833448,Profitable
106540816,ADVENTIST HEALTH TULARE,Tulare,Comparable,Non-Teaching,50 - 99,73,22,20.0601092896175,7342,1851,104660950,76075744,-20928360,False,False,True,0.9118231495280682,14255.100789975484,10361.71942250068,-2850.498501770635,-0.27509898555839296,High cost structure
106400548,ADVENTIST HEALTH TWIN CITIES,San Luis Obispo,Comparable,Rural,100 - 149,122,62,48.1803278688525,17634,3970,128893451,143996970,14461372,False,False,False,0.7771020624008468,7309.3711579902465,8165.871044572984,820.0846092775321,0.10042830762341735,Profitable
106231396,ADVENTIST HEALTH UKIAH VALLEY,Mendocino,Comparable,Rural,50 - 99,50,43,34.3060109289617,12556,3789,276894769,259493422,-8127628,False,False,True,0.797814207650272,22052.785043007327,20666.886110226187,-647.3102899012424,-0.031321133065176504,High cost structure
106481015,ADVENTIST HEALTH VALLEJO,Solano,Comparable,Non-Teaching,50 - 99,61,58,52.43715846994535,19192,2283,37031367,35769377,-395003,False,False,True,0.9040889391369888,1929.5209983326386,1863.7649541475614,-20.581648603584828,-0.01104304947776977,Low utilization
106190878,ADVENTIST HEALTH WHITE MEMORIAL,Los Angeles,Comparable,Teaching,500 +,545,275,270.147540983607,98874,19317,671205810,623958956,8292802,False,False,False,0.9823546944858436,6788.4965713938955,6310.647450290268,83.8724234884803,0.013290620993987303,Profitable
106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,Orange,Comparable,Non-Teaching,200 - 299,223,78,76.4344262295082,27975,6630,196524025,178332676,-16329194,False,False,True,0.9799285414039514,7024.987488829312,6374.715853440572,-583.7066666666667,-0.09156591134201339,High cost structure
106410817,AHMC SETON MEDICAL CENTER,San Mateo,Comparable,Non-Teaching,300 - 499,475,180,175.513661202186,64238,2890,196913904,160737125,-31065868,False,False,True,0.9750758955677,3065.3803667611073,2502.212475481802,-483.60577851116165,-0.19327126822754856,Profitable
